GYD,Azerbaijan,NBC,Russia
SGN,Vietnam,SIN,Singapore
SIN,Singapore,BKK,Thailand
SIN,Singapore,DRW,Australia
SIN,Singapore,HAK,China
SIN,Singapore,HGH,China
SIN,Singapore,HKG,Hong Kong
SIN,Singapore,HKT,Thailand
SIN,Singapore,KUL,Malaysia
SIN,Singapore,MNL,Philippines
SIN,Singapore,PEN,Malaysia
SIN,Singapore,PER,Australia
SIN,Singapore,PNH,Cambodia
SIN,Singapore,REP,Cambodia
SIN,Singapore,RGN,Burma
SIN,Singapore,SGN,Vietnam
SIN,Singapore,SWA,China
SIN,Singapore,TPE,Taiwan
SWA,China,SIN,Singapore
TPE,Taiwan,KIX,Japan
TPE,Taiwan,SIN,Singapore
ACH,Switzerland,EBA,Italy
DRS,Germany,ZRH,Switzerland
EBA,Italy,ACH,Switzerland
EBA,Italy,FDH,Germany
EBA,Italy,MUC,Germany
EBA,Italy,ZRH,Switzerland
FDH,Germany,EBA,Italy
FDH,Germany,OLB,Italy
FDH,Germany,ZAD,Croatia
FMM,Germany,NAP,Italy
GRZ,Austria,ZRH,Switzerland
MUC,Germany,EBA,Italy
NAP,Italy,FMM,Germany
OLB,Italy,FDH,Germany
SZG,Austria,ZRH,Switzerland
ZAD,Croatia,FDH,Germany
ZRH,Switzerland,DRS,Germany
ZRH,Switzerland,EBA,Italy
ZRH,Switzerland,GRZ,Austria
ZRH,Switzerland,SZG,Austria
BIM,Bahamas,FLL,United States
ELH,Bahamas,FLL,United States
ELH,Bahamas,PBI,United States
FLL,United States,BIM,Bahamas
FLL,United States,ELH,Bahamas
FLL,United States,FPO,Bahamas
FLL,United States,GGT,Bahamas
FLL,United States,GHB,Bahamas
FLL,United States,MHH,Bahamas
FLL,United States,TCB,Bahamas
FPO,Bahamas,FLL,United States
GGT,Bahamas,FLL,United States
GHB,Bahamas,FLL,United States
JAX,United States,MHH,Bahamas
MCO,United States,MHH,Bahamas
MHH,Bahamas,FLL,United States
MHH,Bahamas,JAX,United States
MHH,Bahamas,MCO,United States
MHH,Bahamas,PBI,United States
PBI,United States,ELH,Bahamas
PBI,United States,MHH,Bahamas
TCB,Bahamas,FLL,United States
AMS,Netherlands,NDR,Morocco
AMS,Netherlands,TNG,Morocco
BCN,Spain,CMN,Morocco
BCN,Spain,NDR,Morocco
BCN,Spain,TNG,Morocco
BGY,Italy,CMN,Morocco
BLQ,Italy,CMN,Morocco
BRU,Belgium,CMN,Morocco
BRU,Belgium,NDR,Morocco
BRU,Belgium,TNG,Morocco
CGN,Germany,NDR,Morocco
CMN,Morocco,BCN,Spain
CMN,Morocco,BGY,Italy
CMN,Morocco,BLQ,Italy
CMN,Morocco,BRU,Belgium
CMN,Morocco,CUF,Italy
CMN,Morocco,LGW,United Kingdom
CMN,Morocco,LYS,France
CMN,Morocco,MPL,France
CMN,Morocco,SAW,Turkey
CMN,Morocco,TLS,France
CMN,Morocco,TSF,Italy
CUF,Italy,CMN,Morocco
FEZ,Morocco,MPL,France
LGW,United Kingdom,CMN,Morocco
LGW,United Kingdom,TNG,Morocco
LYS,France,CMN,Morocco
MPL,France,CMN,Morocco
MPL,France,FEZ,Morocco
MPL,France,NDR,Morocco
NDR,Morocco,AMS,Netherlands
NDR,Morocco,BCN,Spain
NDR,Morocco,BRU,Belgium
NDR,Morocco,CGN,Germany
NDR,Morocco,MPL,France
NDR,Morocco,PMI,Spain
PMI,Spain,NDR,Morocco
SAW,Turkey,CMN,Morocco
TLS,France,CMN,Morocco
TNG,Morocco,AMS,Netherlands
TNG,Morocco,BCN,Spain
TNG,Morocco,BRU,Belgium
TNG,Morocco,LGW,United Kingdom
TSF,Italy,CMN,Morocco
AUA,Aruba,LSP,Venezuela
AUA,Aruba,MAR,Venezuela
CUR,Netherlands Antilles,AUA,Aruba
LSP,Venezuela,AUA,Aruba
MAR,Venezuela,AUA,Aruba
BHK,Uzbekistan,DME,Russia
DME,Russia,BHK,Uzbekistan
DME,Russia,FEG,Uzbekistan
DME,Russia,KSQ,Uzbekistan
DME,Russia,NMA,Uzbekistan
DME,Russia,NVI,Uzbekistan
DME,Russia,SKD,Uzbekistan
DME,Russia,TIV,Montenegro
FEG,Uzbekistan,DME,Russia
KSQ,Uzbekistan,DME,Russia
NMA,Uzbekistan,DME,Russia
NVI,Uzbekistan,DME,Russia
SKD,Uzbekistan,DME,Russia
TIV,Montenegro,DME,Russia
ANU,Antigua and Barbuda,PTP,Guadeloupe
CAY,French Guiana,FDF,Martinique
CUR,Netherlands Antilles,SDQ,Dominican Republic
DOM,Dominica,PTP,Guadeloupe
DOM,Dominica,SXM,Netherlands Antilles
FDF,Martinique,CAY,French Guiana
FDF,Martinique,PTP,Guadeloupe
FDF,Martinique,SDQ,Dominican Republic
FDF,Martinique,SLU,Saint Lucia
PTP,Guadeloupe,ANU,Antigua and Barbuda
PTP,Guadeloupe,DOM,Dominica
PTP,Guadeloupe,FDF,Martinique
PTP,Guadeloupe,SBH,France
PTP,Guadeloupe,SDQ,Dominican Republic
PTP,Guadeloupe,SXM,Netherlands Antilles
SBH,France,PTP,Guadeloupe
SDQ,Dominican Republic,PTP,Guadeloupe
SDQ,Dominican Republic,SXM,Netherlands Antilles
SLU,Saint Lucia,FDF,Martinique
SXM,Netherlands Antilles,DOM,Dominica
SXM,Netherlands Antilles,PTP,Guadeloupe
SXM,Netherlands Antilles,SDQ,Dominican Republic
CAN,China,SPN,Northern Mariana Islands
CKG,China,HKT,Thailand
CKG,China,INC,China
CKG,China,SYD,Australia
CKG,China,TSA,Taiwan
CTU,China,HKG,Hong Kong
CTU,China,HKT,Thailand
CTU,China,ICN,South Korea
CTU,China,INC,China
CTU,China,MEL,Australia
CTU,China,TSA,Taiwan
HKG,Hong Kong,CTU,China
HKG,Hong Kong,YIH,China
HKG,Hong Kong,ZHA,China
HKT,Thailand,CKG,China
HKT,Thailand,CTU,China
HRB,China,INC,China
ICN,South Korea,CTU,China
INC,China,CKG,China
INC,China,CTU,China
INC,China,HRB,China
INC,China,KWL,China
KMG,China,TPE,Taiwan
KWL,China,INC,China
MEL,Australia,CTU,China
NNG,China,SGN,Vietnam
NTG,China,WUH,China
PVG,China,SPN,Northern Mariana Islands
SGN,Vietnam,NNG,China
SHE,China,YVR,Canada
SPN,Northern Mariana Islands,CAN,China
SPN,Northern Mariana Islands,PVG,China
SYD,Australia,CKG,China
TPE,Taiwan,KMG,China
TSA,Taiwan,CKG,China
TSA,Taiwan,CTU,China
TVS,China,TYN,China
TYN,China,TVS,China
WUH,China,NTG,China
YIH,China,HKG,Hong Kong
YVR,Canada,SHE,China
ZHA,China,HKG,Hong Kong
CAI,Egypt,TLV,Israel
TLV,Israel,CAI,Egypt
MCG,United States,TCT,United States
TCT,United States,TLJ,United States
NCU,Uzbekistan,VKO,Russia
VKO,Russia,NCU,Uzbekistan
BKK,Thailand,DAC,Bangladesh
CCU,India,CGP,Bangladesh
CCU,India,DAC,Bangladesh
CGP,Bangladesh,CCU,India
CGP,Bangladesh,MCT,Oman
DAC,Bangladesh,BKK,Thailand
DAC,Bangladesh,CCU,India
DAC,Bangladesh,DXB,United Arab Emirates
DAC,Bangladesh,JED,Saudi Arabia
DAC,Bangladesh,KTM,Nepal
DAC,Bangladesh,KUL,Malaysia
DAC,Bangladesh,MCT,Oman
DXB,United Arab Emirates,DAC,Bangladesh
JED,Saudi Arabia,DAC,Bangladesh
KTM,Nepal,DAC,Bangladesh
KUL,Malaysia,DAC,Bangladesh
MCT,Oman,CGP,Bangladesh
MCT,Oman,DAC,Bangladesh
DFW,United States,EZE,Argentina
EZE,Argentina,DFW,United States
EZE,Argentina,JFK,United States
EZE,Argentina,MIA,United States
EZE,Argentina,PUJ,Dominican Republic
JFK,United States,EZE,Argentina
MIA,United States,EZE,Argentina
MIA,United States,PUJ,Dominican Republic
PUJ,Dominican Republic,EZE,Argentina
PUJ,Dominican Republic,MIA,United States
BOG,Colombia,MEX,Mexico
GDL,Mexico,SAT,United States
GDL,Mexico,SNA,United States
GUA,Guatemala,MEX,Mexico
HAV,Cuba,MEX,Mexico
JFK,United States,MEX,Mexico
LAS,United States,MTY,Mexico
LAS,United States,TLC,Mexico
MEX,Mexico,BOG,Colombia
MEX,Mexico,GUA,Guatemala
MEX,Mexico,HAV,Cuba
MEX,Mexico,JFK,United States
MEX,Mexico,MIA,United States
MEX,Mexico,SAT,United States
MEX,Mexico,SJO,Costa Rica
MEX,Mexico,SNA,United States
MIA,United States,MEX,Mexico
MTY,Mexico,LAS,United States
MTY,Mexico,SAT,United States
SAT,United States,GDL,Mexico
SAT,United States,MEX,Mexico
SAT,United States,MTY,Mexico
SAT,United States,TLC,Mexico
SJO,Costa Rica,MEX,Mexico
SNA,United States,GDL,Mexico
SNA,United States,MEX,Mexico
TLC,Mexico,LAS,United States
TLC,Mexico,SAT,United States
DEL,India,HEA,Afghanistan
DEL,India,KBL,Afghanistan
DXB,United Arab Emirates,KBL,Afghanistan
HEA,Afghanistan,DEL,India
HEA,Afghanistan,ISB,Pakistan
ISB,Pakistan,HEA,Afghanistan
ISB,Pakistan,KBL,Afghanistan
KBL,Afghanistan,DEL,India
KBL,Afghanistan,DXB,United Arab Emirates
KBL,Afghanistan,ISB,Pakistan
AYT,Turkey,ZRH,Switzerland
BSL,France,HRG,Egypt
HRG,Egypt,BSL,France
HRG,Egypt,ZRH,Switzerland
PRN,Serbia,ZRH,Switzerland
RMF,Egypt,ZRH,Switzerland
SKP,Macedonia,ZRH,Switzerland
ZRH,Switzerland,AYT,Turkey
ZRH,Switzerland,HRG,Egypt
ZRH,Switzerland,PRN,Serbia
ZRH,Switzerland,RMF,Egypt
ZRH,Switzerland,SKP,Macedonia
AGP,Spain,STR,Germany
AGP,Spain,TXL,Germany
ALG,Algeria,CGN,Germany
AMS,Netherlands,HAM,Germany
AOI,Italy,DUS,Germany
AOI,Italy,TXL,Germany
ARN,Sweden,CGN,Germany
ARN,Sweden,DUS,Germany
ARN,Sweden,HAM,Germany
ATH,Greece,CGN,Germany
ATH,Greece,STR,Germany
AYT,Turkey,CGN,Germany
BCN,Spain,CGN,Germany
BCN,Spain,DUS,Germany
BCN,Spain,HAJ,Germany
BCN,Spain,HAM,Germany
BCN,Spain,STR,Germany
BDS,Italy,STR,Germany
BEG,Serbia,STR,Germany
BGO,Norway,HAM,Germany
BHX,United Kingdom,HAM,Germany
BHX,United Kingdom,TXL,Germany
BIA,France,CGN,Germany
BIA,France,DUS,Germany
BIA,France,HAM,Germany
BIA,France,STR,Germany
BIA,France,TXL,Germany
BIO,Spain,DUS,Germany
BIO,Spain,STR,Germany
BLQ,Italy,CGN,Germany
BLQ,Italy,TXL,Germany
BRI,Italy,CGN,Germany
BRI,Italy,DUS,Germany
BRI,Italy,STR,Germany
BRU,Belgium,STR,Germany
BSL,France,DUS,Germany
BUD,Hungary,CGN,Germany
BUD,Hungary,HAM,Germany
BUD,Hungary,STR,Germany
CAG,Italy,CGN,Germany
CAG,Italy,DUS,Germany
CAG,Italy,STR,Germany
CDG,France,HAM,Germany
CFU,Greece,CGN,Germany
CFU,Greece,DRS,Germany
CFU,Greece,STR,Germany
CGN,Germany,ALG,Algeria
CGN,Germany,ARN,Sweden
CGN,Germany,ATH,Greece
CGN,Germany,AYT,Turkey
CGN,Germany,BCN,Spain
CGN,Germany,BIA,France
CGN,Germany,BLQ,Italy
CGN,Germany,BRI,Italy
CGN,Germany,BUD,Hungary
CGN,Germany,CAG,Italy
CGN,Germany,CFU,Greece
CGN,Germany,CLY,France
CGN,Germany,CTA,Italy
CGN,Germany,DBV,Croatia
CGN,Germany,DUB,Ireland
CGN,Germany,EDI,United Kingdom
CGN,Germany,FAO,Portugal
CGN,Germany,FCO,Italy
CGN,Germany,HER,Greece
CGN,Germany,IBZ,Spain
CGN,Germany,JMK,Greece
CGN,Germany,JTR,Greece
CGN,Germany,KGS,Greece
CGN,Germany,KLU,Austria
CGN,Germany,KVA,Greece
CGN,Germany,LHR,United Kingdom
CGN,Germany,LIS,Portugal
CGN,Germany,LPA,Spain
CGN,Germany,MAN,United Kingdom
CGN,Germany,MXP,Italy
CGN,Germany,NAP,Italy
CGN,Germany,NCE,France
CGN,Germany,NDR,Morocco
CGN,Germany,OLB,Italy
CGN,Germany,PMI,Spain
CGN,Germany,PMO,Italy
CGN,Germany,PRG,Czech Republic
CGN,Germany,PSA,Italy
CGN,Germany,PUY,Croatia
CGN,Germany,RAK,Morocco
CGN,Germany,RHO,Greece
CGN,Germany,RJK,Croatia
CGN,Germany,SAW,Turkey
CGN,Germany,SJJ,Bosnia and Herzegovina
CGN,Germany,SKG,Greece
CGN,Germany,SPU,Croatia
CGN,Germany,STN,United Kingdom
CGN,Germany,SUF,Italy
CGN,Germany,SZG,Austria
CGN,Germany,TLV,Israel
CGN,Germany,TUN,Tunisia
CGN,Germany,VCE,Italy
CGN,Germany,VIE,Austria
CGN,Germany,VRN,Italy
CGN,Germany,WAW,Poland
CGN,Germany,XRY,Spain
CGN,Germany,ZAD,Croatia
CGN,Germany,ZAG,Croatia
CGN,Germany,ZRH,Switzerland
CLY,France,CGN,Germany
CTA,Italy,CGN,Germany
CTA,Italy,DUS,Germany
CTA,Italy,HAJ,Germany
CTA,Italy,HAM,Germany
CTA,Italy,STR,Germany
CTA,Italy,TXL,Germany
CWL,United Kingdom,DUS,Germany
DBV,Croatia,CGN,Germany
DBV,Croatia,DUS,Germany
DBV,Croatia,HAJ,Germany
DBV,Croatia,HAM,Germany
DBV,Croatia,STR,Germany
DBV,Croatia,TXL,Germany
DRS,Germany,CFU,Greece
DTM,Germany,PMI,Spain
DTM,Germany,SAW,Turkey
DTM,Germany,SPU,Croatia
DUB,Ireland,CGN,Germany
DUB,Ireland,DUS,Germany
DUS,Germany,AOI,Italy
DUS,Germany,ARN,Sweden
DUS,Germany,BCN,Spain
DUS,Germany,BIA,France
DUS,Germany,BIO,Spain
DUS,Germany,BRI,Italy
DUS,Germany,BSL,France
DUS,Germany,CAG,Italy
DUS,Germany,CTA,Italy
DUS,Germany,CWL,United Kingdom
DUS,Germany,DBV,Croatia
DUS,Germany,DUB,Ireland
DUS,Germany,GVA,Switzerland
DUS,Germany,HER,Greece
DUS,Germany,IBZ,Spain
DUS,Germany,KTW,Poland
DUS,Germany,LYS,France
DUS,Germany,MAD,Spain
DUS,Germany,MPL,France
DUS,Germany,MXP,Italy
DUS,Germany,NQY,United Kingdom
DUS,Germany,OLB,Italy
DUS,Germany,PMI,Spain
DUS,Germany,POZ,Poland
DUS,Germany,PRG,Czech Republic
DUS,Germany,PRN,Serbia
DUS,Germany,SKG,Greece
DUS,Germany,SPU,Croatia
DUS,Germany,SUF,Italy
DUS,Germany,TRN,Italy
DUS,Germany,VCE,Italy
DUS,Germany,WAW,Poland
DUS,Germany,WRO,Poland
DUS,Germany,ZAD,Croatia
EDI,United Kingdom,CGN,Germany
FAO,Portugal,CGN,Germany
FAO,Portugal,HAM,Germany
FAO,Portugal,STR,Germany
FCO,Italy,CGN,Germany
FCO,Italy,HAJ,Germany
FCO,Italy,HAM,Germany
FCO,Italy,STR,Germany
FCO,Italy,TXL,Germany
GVA,Switzerland,DUS,Germany
GVA,Switzerland,HAM,Germany
HAJ,Germany,BCN,Spain
HAJ,Germany,CTA,Italy
HAJ,Germany,DBV,Croatia
HAJ,Germany,FCO,Italy
HAJ,Germany,HER,Greece
HAJ,Germany,MXP,Italy
HAJ,Germany,NAP,Italy
HAJ,Germany,PMI,Spain
HAJ,Germany,PRN,Serbia
HAJ,Germany,SAW,Turkey
HAJ,Germany,SKG,Greece
HAJ,Germany,SPU,Croatia
HAJ,Germany,STN,United Kingdom
HAJ,Germany,SUF,Italy
HAJ,Germany,VCE,Italy
HAJ,Germany,VIE,Austria
HAM,Germany,AMS,Netherlands
HAM,Germany,ARN,Sweden
HAM,Germany,BCN,Spain
HAM,Germany,BGO,Norway
HAM,Germany,BHX,United Kingdom
HAM,Germany,BIA,France
HAM,Germany,BUD,Hungary
HAM,Germany,CDG,France
HAM,Germany,CTA,Italy
HAM,Germany,DBV,Croatia
HAM,Germany,FAO,Portugal
HAM,Germany,FCO,Italy
HAM,Germany,GVA,Switzerland
HAM,Germany,HER,Greece
HAM,Germany,KLU,Austria
HAM,Germany,LHR,United Kingdom
HAM,Germany,MAD,Spain
HAM,Germany,MAN,United Kingdom
HAM,Germany,MXP,Italy
HAM,Germany,NAP,Italy
HAM,Germany,NCE,France
HAM,Germany,OLB,Italy
HAM,Germany,OSL,Norway
HAM,Germany,PMI,Spain
HAM,Germany,PRG,Czech Republic
HAM,Germany,PRN,Serbia
HAM,Germany,RJK,Croatia
HAM,Germany,SAW,Turkey
HAM,Germany,SKG,Greece
HAM,Germany,SPU,Croatia
HAM,Germany,TLS,France
HAM,Germany,VCE,Italy
HAM,Germany,VIE,Austria
HAM,Germany,VRN,Italy
HAM,Germany,ZRH,Switzerland
HEL,Finland,TXL,Germany
HER,Greece,CGN,Germany
HER,Greece,DUS,Germany
HER,Greece,HAJ,Germany
HER,Greece,HAM,Germany
HER,Greece,STR,Germany
HER,Greece,TXL,Germany
IBZ,Spain,CGN,Germany
IBZ,Spain,DUS,Germany
IBZ,Spain,STR,Germany
IBZ,Spain,TXL,Germany
JMK,Greece,CGN,Germany
JTR,Greece,CGN,Germany
KGS,Greece,CGN,Germany
KLU,Austria,CGN,Germany
KLU,Austria,HAM,Germany
KLU,Austria,TXL,Germany
KRK,Poland,STR,Germany
KTW,Poland,DUS,Germany
KVA,Greece,CGN,Germany
KVA,Greece,STR,Germany
LHR,United Kingdom,CGN,Germany
LHR,United Kingdom,HAM,Germany
LHR,United Kingdom,STR,Germany
LHR,United Kingdom,TXL,Germany
LIN,Italy,TXL,Germany
LIS,Portugal,CGN,Germany
LIS,Portugal,STR,Germany
LPA,Spain,CGN,Germany
LYS,France,DUS,Germany
MAD,Spain,DUS,Germany
MAD,Spain,HAM,Germany
MAN,United Kingdom,CGN,Germany
MAN,United Kingdom,HAM,Germany
MPL,France,DUS,Germany
MXP,Italy,CGN,Germany
MXP,Italy,DUS,Germany
MXP,Italy,HAJ,Germany
MXP,Italy,HAM,Germany
MXP,Italy,STR,Germany
NAP,Italy,CGN,Germany
NAP,Italy,HAJ,Germany
NAP,Italy,HAM,Germany
NAP,Italy,STR,Germany
NCE,France,CGN,Germany
NCE,France,HAM,Germany
NCE,France,TXL,Germany
NDR,Morocco,CGN,Germany
NQY,United Kingdom,DUS,Germany
OLB,Italy,CGN,Germany
OLB,Italy,DUS,Germany
OLB,Italy,HAM,Germany
OLB,Italy,STR,Germany
OSL,Norway,HAM,Germany
PMI,Spain,CGN,Germany
PMI,Spain,DTM,Germany
PMI,Spain,DUS,Germany
PMI,Spain,HAJ,Germany
PMI,Spain,HAM,Germany
PMI,Spain,STR,Germany
PMI,Spain,TXL,Germany
PMO,Italy,CGN,Germany
POZ,Poland,DUS,Germany
PRG,Czech Republic,CGN,Germany
PRG,Czech Republic,DUS,Germany
PRG,Czech Republic,HAM,Germany
PRN,Serbia,DUS,Germany
PRN,Serbia,HAJ,Germany
PRN,Serbia,HAM,Germany
PRN,Serbia,STR,Germany
PRN,Serbia,TXL,Germany
PSA,Italy,CGN,Germany
PUY,Croatia,CGN,Germany
RAK,Morocco,CGN,Germany
RHO,Greece,CGN,Germany
RJK,Croatia,CGN,Germany
RJK,Croatia,HAM,Germany
RJK,Croatia,STR,Germany
SAW,Turkey,CGN,Germany
SAW,Turkey,DTM,Germany
SAW,Turkey,HAJ,Germany
SAW,Turkey,HAM,Germany
SAW,Turkey,STR,Germany
SAW,Turkey,TXL,Germany
SJJ,Bosnia and Herzegovina,CGN,Germany
SJJ,Bosnia and Herzegovina,STR,Germany
SJJ,Bosnia and Herzegovina,TXL,Germany
SKG,Greece,CGN,Germany
SKG,Greece,DUS,Germany
SKG,Greece,HAJ,Germany
SKG,Greece,HAM,Germany
SKG,Greece,STR,Germany
SPU,Croatia,CGN,Germany
SPU,Croatia,DTM,Germany
SPU,Croatia,DUS,Germany
SPU,Croatia,HAJ,Germany
SPU,Croatia,HAM,Germany
SPU,Croatia,STR,Germany
SPU,Croatia,TXL,Germany
STN,United Kingdom,CGN,Germany
STN,United Kingdom,HAJ,Germany
STN,United Kingdom,STR,Germany
STR,Germany,AGP,Spain
STR,Germany,ATH,Greece
STR,Germany,BCN,Spain
STR,Germany,BDS,Italy
STR,Germany,BEG,Serbia
STR,Germany,BIA,France
STR,Germany,BIO,Spain
STR,Germany,BRI,Italy
STR,Germany,BRU,Belgium
STR,Germany,BUD,Hungary
STR,Germany,CAG,Italy
STR,Germany,CFU,Greece
STR,Germany,CTA,Italy
STR,Germany,DBV,Croatia
STR,Germany,FAO,Portugal
STR,Germany,FCO,Italy
STR,Germany,HER,Greece
STR,Germany,IBZ,Spain
STR,Germany,KRK,Poland
STR,Germany,KVA,Greece
STR,Germany,LHR,United Kingdom
STR,Germany,LIS,Portugal
STR,Germany,MXP,Italy
STR,Germany,NAP,Italy
STR,Germany,OLB,Italy
STR,Germany,PMI,Spain
STR,Germany,PRN,Serbia
STR,Germany,RJK,Croatia
STR,Germany,SAW,Turkey
STR,Germany,SJJ,Bosnia and Herzegovina
STR,Germany,SKG,Greece
STR,Germany,SPU,Croatia
STR,Germany,STN,United Kingdom
STR,Germany,SUF,Italy
STR,Germany,VIE,Austria
STR,Germany,ZAD,Croatia
STR,Germany,ZAG,Croatia
SUF,Italy,CGN,Germany
SUF,Italy,DUS,Germany
SUF,Italy,HAJ,Germany
SUF,Italy,STR,Germany
SZG,Austria,CGN,Germany
TLS,France,HAM,Germany
TLV,Israel,CGN,Germany
TRN,Italy,DUS,Germany
TUN,Tunisia,CGN,Germany
TXL,Germany,AGP,Spain
TXL,Germany,AOI,Italy
TXL,Germany,BHX,United Kingdom
TXL,Germany,BIA,France
TXL,Germany,BLQ,Italy
TXL,Germany,CTA,Italy
TXL,Germany,DBV,Croatia
TXL,Germany,FCO,Italy
TXL,Germany,HEL,Finland
TXL,Germany,HER,Greece
TXL,Germany,IBZ,Spain
TXL,Germany,KLU,Austria
TXL,Germany,LHR,United Kingdom
TXL,Germany,LIN,Italy
TXL,Germany,NCE,France
TXL,Germany,PMI,Spain
TXL,Germany,PRN,Serbia
TXL,Germany,SAW,Turkey
TXL,Germany,SJJ,Bosnia and Herzegovina
TXL,Germany,SPU,Croatia
TXL,Germany,VIE,Austria
TXL,Germany,VRN,Italy
TXL,Germany,ZAD,Croatia
VCE,Italy,CGN,Germany
VCE,Italy,DUS,Germany
VCE,Italy,HAJ,Germany
VCE,Italy,HAM,Germany
VIE,Austria,CGN,Germany
VIE,Austria,HAJ,Germany
VIE,Austria,HAM,Germany
VIE,Austria,STR,Germany
VIE,Austria,TXL,Germany
VRN,Italy,CGN,Germany
VRN,Italy,HAM,Germany
VRN,Italy,TXL,Germany
WAW,Poland,CGN,Germany
WAW,Poland,DUS,Germany
WRO,Poland,DUS,Germany
XRY,Spain,CGN,Germany
ZAD,Croatia,CGN,Germany
ZAD,Croatia,DUS,Germany
ZAD,Croatia,STR,Germany
ZAD,Croatia,TXL,Germany
ZAG,Croatia,CGN,Germany
ZAG,Croatia,STR,Germany
ZRH,Switzerland,CGN,Germany
ZRH,Switzerland,HAM,Germany
BTT,United States,CXF,United States
CXF,United States,AKP,United States
FAI,United States,RMP,United States
FAI,United States,SVS,United States
FAI,United States,TAL,United States
